spatial	broader
https://d-nb.info/gnd/4766893-3	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4039705-1	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4490539-7	https://rpb.lobid.org/spatial#n11
https://d-nb.info/gnd/4114920-8	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4264313-2	https://rpb.lobid.org/spatial#n24
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4114920-8	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4031415-7	https://rpb.lobid.org/spatial#n4031415n7
https://d-nb.info/gnd/4430777-9	https://rpb.lobid.org/spatial#n30
https://d-nb.info/gnd/4055608-6	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4377902-5	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4116352-7	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4377902-5	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4827033-7	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4054887-9	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4119314-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4055608-6	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4264313-2	https://rpb.lobid.org/spatial#n24
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4329692-0	https://rpb.lobid.org/spatial#n11
https://d-nb.info/gnd/4109995-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4417112-2	https://rpb.lobid.org/spatial#n01
https://d-nb.info/gnd/4055608-6	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4102956-2	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4119314-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4105499-4	https://rpb.lobid.org/spatial#n49
