rppdId	preferredName
ps02444	Kistner, Karl Ludwig
ps02445	Cisnerus, Nicolaus
ps02446	Kistner, Nicolaus
ps02449	Kleeberger, Daniel
ps02544	Kolb von Wartenberg, Johann Casimir d.Ä
ps02547	Kolditz, Heide
ps01964	Geduldig, Peter
ps01967	Gehring, Reiner
ps01968	Gehring, Michael
ps01970	Geier, Albert
ps01973	Geissel, Johannes Jakob ¬von¬
ps01981	Georg Gustav, Pfalzgraf von Veldenz
ps01983	Georgii, Benedikt
ps01984	Gerhard von Ehrenburg
ps01986	Gerhardt, Karl
ps01987	Gernhardt, Ingrid
ps01989	Gienanth, Eugen Frh. v.
ps01990	Gienanth, Friedrich ¬von¬
ps01991	Gienanth, Johann Michael Ludwig Frhr. ¬von¬
ps01992	Gienanth, Karl Frhr. ¬von¬
ps01993	Gienanth, Ludwig Freiherr ¬von¬
ps01999	Gingel, Roland
ps02006	Glaser, Veronika
ps02011	Gileser, Hans
ps02012	Glock, Bernhard
ps02013	Glosse, Reiner
ps02014	Gmelin, Philipp Jakob
ps02015	Göbel, Ute
ps02016	Goedecke, Heidelinde
ps02018	Göring, Heinrich
ps02019	Götz, Anni
ps02020	Götz, Erwin
ps02022	Götze, Thilo
ps02023	Golsen, Christian
ps02024	Golsen, Fritz
ps02026	Goßler, Joh. Gerhard
ps02027	Gotedank
ps02029	Goth-Emmerich, Luise
ps02030	Gottfried I
ps02034	Graeber, Peter
ps02039	Graf, Friedrich
ps02040	Graf, Otto
ps02042	Grandfil, J. W.
ps02043	Graser, Ernst
ps02047	Greiff, Gustel
ps02048	Greiner, Susy
ps02049	Greß, Herberg
ps02050	Grewenig, Meinrad Maria
ps02052	Grieser, Andreas
ps02053	Grill, Friedrich
ps02130	Hauck, Hans Dieter
ps02131	Heydemarck, Georg
ps02133	Haupt, Wilhelm
ps02134	Havekost, Werner
ps02135	Steigner, Ursula
ps02136	Havekost-Steigner, Ursula
ps02138	Heddäus, Friedrich Karl
ps02140	Heger, Philipp
ps02143	Heideck, Karl Wilhelm Freiherr ¬von¬
ps02145	Heidloß, Peter
ps02147	Heieck, Peter
ps02148	Heieck, Udo
ps02154	Heinrich I. von Scharfenberg
ps02155	Heinrich I., der Ältere, der Welfe Herzog
ps02156	Heinrich II., Graf von Leiningen
ps02159	Heinrich, Gabriele
ps02160	Heinricus Vitrator
ps02161	Heintel, Albrecht
ps02164	Held, Maria
ps02166	Hella, Andreas
ps02169	Heller-Kübler, Ulrike
ps02170	Reichenbach, Barbara
ps02171	Heller-Reichenbach, Barbara
ps02174	Hellraeth
ps02176	Henckhell, Michel
ps02177	Hendle, Joh. Wilh
ps02178	Henel, Conrad
ps02179	Hengstenberg, Georg
ps02180	Henniger, Julius
ps02181	Henop, Philip Lucas
ps02182	Henrich, Eva
ps02184	Henrich, Ludwig
ps02185	Henriette-Caroline, Landgr. von Hessen-Darmstadt
ps02186	Multer, Susanne
ps02188	Herbst, Franz Joseph
ps02055	Grimm, Fritz Wilhelm
ps02056	Grohé, Friedrich Georg
ps02057	Gropp, Alfred
ps02058	Gropper, Wolfgang ¬von¬
ps02086	Häge, Benno
ps02087	Hänchen, Christian
ps02088	Haffner, Franz
ps02095	Haid, Matthäus Franz
ps02096	Hain, Adelheid
ps02097	Jäger, Adelheid
ps02098	Haintl, Elsa
ps02102	Hammann, Johann
ps02104	Herczog, Johann
ps02106	Hamm, Karl Michael
ps02107	Hammel, Hans Martin
ps02108	Hammer, Friedrich
ps02110	Hammerschmidt, Burkhard
ps02112	Hannong, Joseph Adam
ps02114	Happel, Karl
ps02115	Hardwig, Anneliese
ps02116	Hardt, Bern
ps02120	Hartmann, Johann Adam
ps02121	Hartmann, Ludwig
ps02122	Hartmann, Paul
ps02123	Hartung, Arnd
ps02125	Hartwein, Peter Wilhelm
ps02126	Hasemann, Richard
ps02127	Hassauer, Magda
ps02128	Hauck, Friedrich
ps02129	Hauck, Gerd
ps02314	Johann Casimir, Pfalzgraf von Lautern
ps02372	Kasten, Holger
ps02373	Kaufmann, Hermann Michael
ps02374	Kaufmann, Renate
ps02375	Kausler
ps02376	Kayser, Gerhardt
ps02377	Mathees, L. K.
ps02380	Keller, Karl Josef
ps02060	Groß, Philipp Peter
ps02065	Gruber, Wilhelm
ps02066	Grünert, Hermann
ps02069	Gümbel, Friedrich Ludwig
ps02070	Gümbel, Wilhelm Karl ¬von¬
ps02075	Gugger, Martin
ps02079	Guynant
ps02132	Haupt-Heydemarck
ps02137	Haynes, Sybille
ps02139	Heger, Johann
ps02141	Heicken, Karl
ps02142	Heyden, Caspar van der
ps02144	Heiderich, Andreas
ps02146	Heidrich, Andreas
ps02151	Heilmann, Hella
ps02153	Heinrich der Jüngere, Pfalzgraf
ps02162	Heintz, Johann Casimir
ps02165	Helderhof, Philipp
