gndIdentifier	thumbnail	id	url
118679783	https://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Dirichs.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Dirichs.jpg	https://commons.wikimedia.org/wiki/File:Ferdinand%20Dirichs.jpg?uselang=de
119493357	https://commons.wikimedia.org/wiki/Special:FilePath/Bodo%20Ebhardt%201912%20D%C3%BChrkoop.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Bodo%20Ebhardt%201912%20D%C3%BChrkoop.jpg	https://commons.wikimedia.org/wiki/File:Bodo%20Ebhardt%201912%20D%C3%BChrkoop.jpg?uselang=de
117256560	https://commons.wikimedia.org/wiki/Special:FilePath/Arens-Tepe%20%E2%80%93%20Artiest%2C%20schrijver%2080jr.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Arens-Tepe%20%E2%80%93%20Artiest%2C%20schrijver%2080jr.jpg	https://commons.wikimedia.org/wiki/File:Arens-Tepe%20%E2%80%93%20Artiest%2C%20schrijver%2080jr.jpg?uselang=de
1051148464	https://commons.wikimedia.org/wiki/Special:FilePath/Eduatd%20Zais%20IMG%200222.JPG?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Eduatd%20Zais%20IMG%200222.JPG	https://commons.wikimedia.org/wiki/File:Eduatd%20Zais%20IMG%200222.JPG?uselang=de
1029335672	https://commons.wikimedia.org/wiki/Special:FilePath/Georg%20Z%C3%BClch.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Georg%20Z%C3%BClch.jpg	https://commons.wikimedia.org/wiki/File:Georg%20Z%C3%BClch.jpg?uselang=de
118711547	https://commons.wikimedia.org/wiki/Special:FilePath/Jakob%20von%20Eltz.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Jakob%20von%20Eltz.jpg	https://commons.wikimedia.org/wiki/File:Jakob%20von%20Eltz.jpg?uselang=de
11850617X	https://commons.wikimedia.org/wiki/Special:FilePath/Wittlich%2C%20Kurf%C3%BCrst-Balduin%20%28101%29.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Wittlich%2C%20Kurf%C3%BCrst-Balduin%20%28101%29.jpg	https://commons.wikimedia.org/wiki/File:Wittlich%2C%20Kurf%C3%BCrst-Balduin%20%28101%29.jpg?uselang=de
116823984	https://commons.wikimedia.org/wiki/Special:FilePath/Baden-hilda.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Baden-hilda.jpg	https://commons.wikimedia.org/wiki/File:Baden-hilda.jpg?uselang=de
118597884	https://commons.wikimedia.org/wiki/Special:FilePath/FW%20Raiffeisen.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/FW%20Raiffeisen.jpg	https://commons.wikimedia.org/wiki/File:FW%20Raiffeisen.jpg?uselang=de
123864380	https://commons.wikimedia.org/wiki/Special:FilePath/Rudi%20Gutendorf%20%282011%29%20%28cropped%29.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Rudi%20Gutendorf%20%282011%29%20%28cropped%29.jpg	https://commons.wikimedia.org/wiki/File:Rudi%20Gutendorf%20%282011%29%20%28cropped%29.jpg?uselang=de
118647709	https://commons.wikimedia.org/wiki/Special:FilePath/Albini%20Franz%20Joseph.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Albini%20Franz%20Joseph.jpg	https://commons.wikimedia.org/wiki/File:Albini%20Franz%20Joseph.jpg?uselang=de
136201814	https://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%20Karl%20Henkel%20%281848-1930%29.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%20Karl%20Henkel%20%281848-1930%29.jpg	https://commons.wikimedia.org/wiki/File:Friedrich%20Karl%20Henkel%20%281848-1930%29.jpg?uselang=de
142673587	https://commons.wikimedia.org/wiki/Special:FilePath/Koblenz%20im%20Buga-Jahr%202011%20-%20Rheinanlagen%2015.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Koblenz%20im%20Buga-Jahr%202011%20-%20Rheinanlagen%2015.jpg	https://commons.wikimedia.org/wiki/File:Koblenz%20im%20Buga-Jahr%202011%20-%20Rheinanlagen%2015.jpg?uselang=de
128550163	https://commons.wikimedia.org/wiki/Special:FilePath/Maria-Terwiel%20Helmut-Himpel.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Maria-Terwiel%20Helmut-Himpel.jpg	https://commons.wikimedia.org/wiki/File:Maria-Terwiel%20Helmut-Himpel.jpg?uselang=de
118802100	https://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Thonet.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Thonet.jpg	https://commons.wikimedia.org/wiki/File:Michael%20Thonet.jpg?uselang=de
118767801	https://commons.wikimedia.org/wiki/Special:FilePath/Theodor%20Wiegand.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Theodor%20Wiegand.jpg	https://commons.wikimedia.org/wiki/File:Theodor%20Wiegand.jpg?uselang=de
