rppdId	preferredName
pk00585	Scheppe, Walter
pk00586	Ulrich, Hildegard
pk00587	Diehl, Friedrich
pk00588	Langlotz, Heiner
pk00589	Schlich, Johann
pk00590	Schäfer, Wolfgang
pk00591	Bindczeck, Richard
pk00593	Käppel, Hubert
pk00594	Ehrenberg, Ernst
pk00595	Auler, Johann Jakob
pk00596	Back, Franz Karl
pk00597	Back, Friedrich
pk00598	Christmann, Rudolf
pk00599	Engelmann, Peter
pk00600	Hackenberg, Albert
pk00602	Koch, Birgit Theresa
pk00603	Klumb, Jakob
pk00604	Holzmann, Heidi
pk00605	Schaffer, Michael
pk00606	Langnickel, Uwe
pk00607	Kossuth, Benjamin
pk00608	Leonhard, Jakob Peter
pk00610	Siegel, Ernst
pk00611	Wagner, Karl
pk00612	Pasieka, Manfred
pk00613	Schlarb, Hugo
pk00614	Hartmann, Werner
pk00615	Grüterich, Walter
pk00616	Drechsler, Josef
pk00617	Thießen, Franz
pk00618	Herrmann, Heinz
pk00619	Birnstock, Gerd
pk00620	Klein, Josef
pk00621	Klöckner, Uli
pk00622	Albert, Klaus
pk00623	Schack, Adolf Friedrich Graf ¬von¬
pk00624	Anders, Thomas
pk00628	Liegel-Seitz, Maria Elisabeth
pk00629	Brands, Alfons
pk00630	Wendels, Franziskus
pk00631	Rückel, Fritz Hans
pk00632	Lehnerer, Thomas
pk00633	Zöllner, Emil Jürgen
pk00634	Krupp, Theo
pk00635	Schneidewind, Klaus
pk00636	Schmied, Siegfried
pk00638	Agricola, Otto
pk00639	Fuhs, Jupp
pk00640	Fuhs, Hilde
pk00641	Aschoff, Karl
pk00642	Axt, Carl August Moritz
pk00644	Carmer, Johann Heinrich Casimir ¬von¬
pk00645	Eichholz, Franz
pk00646	Enzian, Gisbert
pk00647	Fischer, Martin Nikolaus Philipp Paul Robert
pk00648	Frey, Konrad
pk00649	Hartmann, Gustav F.
pk00650	Hout, Ludwig Philipp
pk00651	Jagow, Gustav Wilhelm ¬von¬
pk00652	Mauser, Moses
pk00653	Müller, Friedrich
pk00654	Schmithals, Nelli
pk00655	Tawrogi, Abraham
pk00657	Würzburger, Michael
pk00658	Michel, Fritz
pk00659	Ungers, Oswald Mathias
pk00660	Reinhardt, Lulo
pk00662	Rothenbücher, Hans
pk00663	Neumann, Christine
pk00665	Lunkenheimer, Franz-Josef
pk00666	Thonet, Georg
pk00667	Mutzbauer, Hans Wilhelm
pk00668	Bücher, Anna
pk00669	Noll, Rainer
pk00670	Jolas, Franz
pk00671	Müller, Hartmut
pk00672	Klinkhammer, Georg
pk00673	Willems, Michèle
pk00674	Kirschbaum, Peter J.
pk00675	Keuthen, Monika
pk00676	Buslau, Oliver
pk00677	Boemund / II. / Trier, Erzbischof, Kurfürst
pk00679	Sachsenhausen, Friedrich ¬von¬
pk00681	Schinkel, Karl Friedrich
pk00682	Schlegel, Mathias Jakob
pk00683	Schmitz, Bruno
pk00684	Schneider, Erich
pk00685	Kage, Manfred
pk00686	Tietze, Friedlinde
pk00687	Lauinger, Wolfgang
pk00688	Schiller, Petra
pk00689	Weis, Caspar
pk00690	Pees, Volkmar
pk00691	Hack, Harald
pk00692	Trosson, Christian ¬von¬
pk00693	Alken, Heinrich
pk00695	Arendt, Otto
pk00696	Krug, Hans-Joachim
pk00697	Fuchs, Urs
pk00698	Molitor, Gerhard
pk00699	Schnorr, Silke
pk00700	Bitterlich, Christine
pk00701	Salden, Georg
pk00702	Gasteier, Edwig
pk00703	Kögler, Kaspar
pk00704	Buchen, Richard
pk00705	Stein, Anni
pk00706	Schmidt, Rudolf
pk00707	Moger, Anna
pk00708	Kill, Heinrich H.
pk00709	Steffens, Maria
pk00710	Fobes, Peter
pk00711	Hessling, Rosa M.
pk00712	Wurster, Stephan
pk00713	Echternacht, Erwin
pk00714	Wagner, Franz
pk00715	Astudin, Nicolai
pk00716	Görg, Heinrich
pk00717	Rether, Hans-Otto
pk00718	Opaschowski, Horst W.
pk00719	Erner, Artur
pk00722	Steger, Denise
pk00723	Geiger-Toussaint, Yris
pk00724	Bartels, Georg Karl
pk00725	Camphausen, Ludolf
pk00726	Goetzke, Karl Wilhelm Johannes
pk00727	Greber, Johannes
pk00728	Lobuscher, Josef
pk00729	Marx, Wilhelm
pk00731	Link, Fridolin
pk00732	Betzing, Jo
pk00733	Leifheit, Günter
pk00734	Mittelbach, Ursula
pk00735	Schaller, Beate
pk00736	Schwickert, Doris
pk00737	Klein, Josef
pk00738	Ibald, Kerstin
pk00739	Kermes, Simone
pk00740	Pohlmann, Manfred
pk00741	Medek, Tilo
pk00742	Weller, Martin
pk00743	Guggenbichler, Siegfried
pk00744	Weber, Peter
pk00745	Winter, Johann
pk00746	Drais, Karl
pk00747	Krups, Robert
pk00748	Meutsch, Reiner
pk00749	Meister, Ursula
pk00750	Maur, Jürgen
pk00751	Göke, Peter
pk00752	Kaiser, Gerlach
pk00753	Schneider, Heinrich Daniel Friedrich
pk00754	Brühl, Peter
pk00755	Brühl, Gustav
pk00756	Thomé, Gerhard
pk00757	Brühl, Aloys
pk00758	Reifenrath, Aloys
pk00759	Brühl, Fritz
pk00760	Boquoi, Johann
pk00761	Hildegard / Bingen, Äbtissin, Heilige
pk00762	Nikolaus / von Kues, Kardinal
pk00763	Heinz, Petra
pk00764	Gampper, Eduard
pk00765	Schmidt, Erich
pk00766	Glässer, Matthias
pk00767	Ebert, Helmut
pk00768	Leiningen-Westerburg Alt-Leiningen, Hedwig ¬zu¬
pk00769	Schröder, Hans
pk00770	Brausewetter, Renate
pk00771	Adelfang, Bernhard
pk00772	Fohr, Rainer
pk00773	Pechau, Jochem
pk00844	Berg, Axel ¬von¬
pk00845	Berlin, Fritz
pk00846	Karl Johann / XIV. / Schweden, König
pk00847	Bersch, Andrea
pk00848	Bertram / von Koblenz
pk00849	Beyer, Gustav Friedrich ¬von¬
pk00850	Bickel, Heribert
pk00851	Bitter, Heinrich
pk00852	Altenburg, Wolfgang
pk00853	Adam, Karl
pk00855	Becker, Friedrich Wilhelm
pk00856	Behnke, Herbert
pk00857	Blum, Alfred
pk00858	Bockius, Fritz
pk00860	Boislambert, Claude Hettier ¬de¬
pk00861	Boos-Waldeck, Clemens
pk00862	Brannekämper, Dagmar
pk00863	Eifert, Marlies
pk00864	Berndorf, Jacques
pk00865	Grimm-Eifert, Georg
pk00866	Capitoni, Roberto
pk00868	Scheuer, Norbert
pk00869	Gemmer, Willi
pk00870	Baulig, Friedrich Wilhelm
pk00872	Lotz, Klaus
pk00873	Wagner, Ute
pk00874	Hammes, Manfred
pk00875	Biermanski, Brigitta
pk00876	Bruchhäuser, Karl
pk00877	Ellerbrock, Franz
pk00878	Wagner, Willi
pk00879	Hueppe, Ferdinand
pk00880	Müller-Leyh, Heribert
pk00881	Stein, Christian
pk00883	Dötsch, Johann
pk00884	Newinger, Jakob
pk00885	Hoff, Elke
pk00886	Wolf, Jochen
pk00887	Nieß, Hermann
pk00888	Schmidt-Reuther, Gisela
pk00890	Mans, Bodo
pk00892	Roßbach, Michael
pk00894	Haltaus, Ernst
pk00895	Slominski, Josef A.
pk00896	Nahles, Andrea
pk00897	Darscheid, Karl
